,player_name,height,weight,birth_date,active_from,active_to,position,years_played_NBA,college,NBA_g_played,NBA_per,NBA_fg%,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,go_college
1007,Josh Davis,80,235.0,1980-08-10,2004,2012,F,8,Wyoming,67,11.0,0.373,2.3,0.724,0.8,2.2,0.3,0.4,0.3,1.0,0.329,0.45,0.497,119.0,12.1,0.642,4.7,9.5,2.1,3.3,0.5,1.9,0.278,True
1008,Lee Davis,80,235.0,1945-10-11,1969,1976,C-F,7,NC Central,453,15.0,0.482,7.8,0.607,3.3,6.9,1.1,1.8,0.0,0.1,0.189,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1009,Mark Davis,78,195.0,1963-06-08,1989,1989,F-G,0,Old Dominion,33,15.0,0.48,3.8,0.824,1.5,3.1,0.8,1.0,0.0,0.3,0.1,0.485,0.501,110.0,9.4,0.751,3.9,7.7,1.7,2.3,,,,True
1010,Mark Davis,79,210.0,1973-04-26,1996,2000,G-F,4,"Howard College, Texas Tech",230,11.9,0.442,5.5,0.655,2.1,4.7,1.2,1.9,0.1,0.5,0.246,0.455,0.497,58.0,17.9,0.639,6.6,13.3,4.0,6.3,0.6,2.0,0.325,True
1011,Mel Davis,78,220.0,1950-11-09,1974,1977,F,3,St. John's,190,12.0,0.376,5.3,0.709,2.3,6.0,0.8,1.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1012,Mickey Davis,79,195.0,1950-06-16,1972,1977,F-G,5,Duquesne,309,13.9,0.455,5.0,0.835,2.0,4.3,1.1,1.3,0.0,0.1,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1013,Mike Davis,75,185.0,1946-07-26,1970,1973,G,3,Virginia Union University,242,12.2,0.424,10.1,0.765,3.9,9.1,2.4,3.1,0.2,0.6,0.261,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1014,Mike Davis,82,230.0,1956-08-02,1983,1983,F,0,Maryland,8,21.1,0.4,1.8,0.6,0.5,1.3,0.8,1.3,0.0,0.0,0.0,0.4,0.466,45.0,5.6,0.658,2.0,4.2,1.7,2.5,0.0,0.0,0.0,True
1015,Monti Davis,79,205.0,1958-07-26,1981,1981,F,0,Tennessee State,2,4.5,0.2,1.5,0.2,0.5,2.5,0.5,2.5,0.0,0.0,0.0,0.2,0.498,74.0,16.3,0.644,6.1,12.3,2.7,4.2,0.0,0.0,0.0,True
1016,Paul Davis,83,270.0,1984-07-21,2007,2010,C,3,Michigan State,82,10.6,0.402,2.6,0.732,1.1,2.7,0.5,0.7,0.0,0.0,0.0,0.402,0.538,130.0,13.2,0.763,4.7,8.8,3.7,4.8,0.1,0.4,0.271,True
1017,Ralph Davis,76,180.0,1938-09-07,1961,1962,G,1,Cincinnati,150,9.3,0.409,8.0,0.677,3.6,8.9,0.7,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1018,Red Davis,79,220.0,1932-04-22,1956,1956,C,0,St. John's,3,-3.3,0.0,0.7,1.0,0.0,2.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1019,Ricky Davis,78,195.0,1979-09-23,1999,2010,G,11,Iowa,736,14.7,0.446,13.5,0.781,5.1,11.4,2.5,3.2,0.8,2.2,0.361,0.48,0.466,31.0,15.0,0.698,5.6,12.0,2.9,4.2,0.9,2.9,0.308,True
1020,Ron Davis,78,198.0,1954-05-01,1977,1982,G-F,5,Washington State,78,10.7,0.42,5.3,0.571,2.0,4.8,1.3,2.3,0.0,0.1,0.25,0.422,0.494,52.0,14.3,0.67,6.0,12.1,2.4,3.6,0.0,0.0,0.0,True
1021,Terence Davis,76,201.0,1997-05-16,2020,2022,G,2,Ole Miss,146,12.6,0.431,7.9,0.831,2.9,6.7,0.7,0.8,1.4,3.8,0.363,0.535,0.445,121.0,12.5,0.717,4.5,10.2,2.0,2.7,1.5,4.3,0.339,True
1022,Terry Davis,81,225.0,1967-06-17,1990,2001,F-C,11,Virginia Union University,480,10.9,0.472,6.4,0.605,2.5,5.3,1.4,2.3,0.0,0.0,0.158,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1023,Tyler Davis,82,266.0,1997-05-22,2019,2019,C,0,Texas A&M,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,102.0,13.4,0.646,5.1,8.3,3.1,4.7,0.1,0.3,0.269,True
1024,Walt Davis,80,205.0,1931-01-05,1954,1958,C-F,4,Texas A&M,325,9.5,0.377,4.8,0.695,1.9,5.1,1.0,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1025,Walter Davis,78,193.0,1954-09-09,1978,1992,G-F,14,UNC,1033,19.1,0.511,18.9,0.851,7.9,15.4,3.0,3.6,0.2,0.7,0.272,0.516,0.531,119.0,15.7,0.773,6.3,11.9,3.0,3.9,0.0,0.0,0.0,True
1026,Warren Davis,78,212.0,1943-06-30,1968,1973,F-C,5,North Carolina A&T,447,15.4,0.48,12.2,0.691,4.5,9.4,3.1,4.5,0.0,0.0,0.125,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1027,Willie Davis,80,234.0,1945-08-09,1971,1971,C,0,University of North Texas,8,16.4,0.467,2.3,0.5,0.9,1.9,0.5,1.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1028,Andre Dawkins,77,215.0,1991-09-19,2015,2015,G,0,Duke,4,-5.0,0.167,0.8,0.0,0.3,1.5,0.0,0.0,0.3,1.5,0.167,0.25,0.433,142.0,7.1,0.769,2.3,5.4,0.9,1.1,1.6,4.0,0.407,True
1029,Darryl Dawkins,83,251.0,1957-01-11,1976,1989,C,13,nan,726,15.8,0.572,12.0,0.685,4.8,8.4,2.4,3.6,0.0,0.0,0.133,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1030,Johnny Dawkins,74,165.0,1963-09-28,1987,1995,G,8,Duke,541,14.7,0.456,11.1,0.857,4.4,9.6,2.0,2.3,0.3,1.0,0.33,0.474,0.508,133.0,19.2,0.79,7.7,15.2,3.6,4.6,,,0.352,True
1031,Paul Dawkins,77,190.0,1957-06-10,1980,1980,F,0,Northern Illinois,57,11.0,0.47,5.5,0.688,2.5,5.3,0.6,0.8,0.0,0.1,0.2,0.472,0.459,101.0,17.3,0.722,7.4,16.2,2.4,3.4,0.0,0.0,0.0,True
1032,Branden Dawson,78,225.0,1993-02-01,2016,2016,F,0,Michigan State,6,7.1,0.4,0.8,1.0,0.3,0.8,0.2,0.2,0.0,0.0,0.0,0.4,0.559,130.0,10.1,0.558,4.4,7.8,1.4,2.4,0.0,0.1,0.0,True
1033,Eric Dawson,81,250.0,1984-07-07,2012,2012,F,0,Midwestern State University,4,14.6,0.583,3.8,0.5,1.8,3.0,0.3,0.5,0.0,0.0,0.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1034,Jimmy Dawson,72,175.0,1945-04-18,1968,1968,G,0,Illinois,21,9.4,0.346,5.6,0.581,2.2,6.3,1.2,2.0,0.0,0.3,0.143,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1035,Tony Dawson,79,215.0,1967-08-25,1991,1995,F,4,Florida State,6,11.6,0.467,2.8,1.0,1.2,2.5,0.2,0.2,0.3,0.7,0.5,0.533,0.533,60.0,19.4,0.732,7.6,14.2,3.8,5.2,0.4,1.5,0.295,True
1036,Todd Day,78,188.0,1970-01-07,1993,2001,G-F,8,Arkansas,483,14.1,0.406,12.3,0.739,4.2,10.4,2.6,3.6,1.2,3.4,0.345,0.462,0.479,127.0,18.9,0.747,6.6,13.7,3.9,5.3,1.8,4.6,0.384,True
1037,Austin Daye,83,220.0,1988-06-05,2010,2015,F,5,Gonzaga,293,11.6,0.402,5.2,0.778,1.9,4.8,0.7,0.9,0.6,1.8,0.351,0.469,0.477,67.0,11.6,0.79,4.1,8.6,2.5,3.1,0.9,2.2,0.422,True
1038,Darren Daye,80,220.0,1960-11-30,1984,1988,F-G,4,UCLA,328,13.9,0.491,6.8,0.681,2.6,5.3,1.6,2.4,0.0,0.1,0.118,0.491,0.555,114.0,10.1,0.648,4.0,7.1,2.1,3.3,0.0,0.0,0.0,True
1039,Nando De Colo,77,200.0,1987-06-23,2013,2014,G,1,nan,119,11.8,0.429,3.8,0.835,1.4,3.3,0.6,0.7,0.4,1.1,0.363,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1040,Billy DeAngelis,73,180.0,1946-10-05,1971,1971,G,0,Saint Joseph's,8,3.1,0.5,1.3,0.667,0.4,0.8,0.5,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1041,Dave DeBusschere,78,220.0,1940-10-16,1963,1974,F-G,11,Detroit Mercy,875,15.5,0.432,16.1,0.699,6.5,15.1,3.0,4.3,0.0,0.0,0.0,,0.423,80.0,24.8,0.612,10.1,24.0,4.5,7.4,0.0,0.0,0.0,True
1042,Andrew DeClercq,82,230.0,1973-02-01,1996,2005,F-C,9,Florida,587,12.1,0.507,4.8,0.621,1.9,3.8,1.0,1.6,0.0,0.0,0.0,0.507,0.531,128.0,10.2,0.663,3.9,7.4,2.3,3.5,0.0,0.1,0.333,True
1043,Nate DeLong,78,220.0,1926-01-05,1952,1952,C,0,Wisconsin-River Falls,17,21.1,0.476,3.8,0.686,1.2,2.5,1.4,2.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1044,Joe DePre,75,185.0,1947-12-19,1971,1973,G,2,St. John's,119,7.6,0.477,7.0,0.735,2.8,5.8,1.4,1.9,0.0,0.1,0.2,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1045,DeMar DeRozan,78,220.0,1989-08-07,2010,2022,G-F,12,USC,902,18.6,0.461,20.3,0.835,7.3,15.8,5.3,6.4,0.4,1.5,0.283,0.474,0.523,35.0,13.9,0.646,5.5,10.5,2.7,4.2,0.2,1.0,0.167,True
1046,Hank DeZonie,78,215.0,1922-02-12,1951,1951,C-F,0,Clark Atlanta University,5,-,0.24,3.4,0.714,1.2,5.0,1.0,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1047,Greg Deane,76,190.0,1957-12-06,1980,1980,G,0,Utah,7,4.5,0.182,1.4,0.714,0.3,1.6,0.7,1.0,0.1,0.1,1.0,0.227,0.528,113.0,10.7,0.741,4.2,8.0,2.3,3.0,0.0,0.0,0.0,True
1048,Gabriel Deck,80,232.0,1995-02-08,2021,2022,F,1,nan,15,16.0,0.486,6.2,0.818,2.4,4.9,1.2,1.5,0.2,1.1,0.176,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1049,Dewayne Dedmon,84,245.0,1989-08-12,2014,2022,C,8,USC,430,15.0,0.524,6.4,0.737,2.5,4.8,1.0,1.3,0.4,1.1,0.335,0.562,0.52,51.0,7.1,0.614,3.0,5.8,1.1,1.7,0.0,0.1,0.0,True
1050,Don Dee,80,210.0,1943-08-09,1969,1969,F,0,Saint Mary of the Plains College,58,7.0,0.357,5.7,0.747,2.4,6.7,1.0,1.3,0.0,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1051,Archie Dees,80,205.0,1936-02-22,1959,1962,F-C,3,Indiana,190,13.7,0.402,8.1,0.794,3.0,7.5,2.1,2.6,0.0,0.0,0.0,,0.445,68.0,22.7,0.828,8.2,18.4,6.4,7.7,0.0,0.0,0.0,True
1052,Terry Dehere,74,190.0,1971-09-12,1994,1999,G,5,Seton Hall,402,12.7,0.411,8.0,0.779,2.7,6.5,1.8,2.4,0.8,2.2,0.378,0.473,0.442,128.0,19.5,0.822,6.1,13.9,4.8,5.8,2.5,6.3,0.389,True
1053,Red Dehnert,75,175.0,1924-01-24,1947,1947,F,0,Columbia University,10,-,0.4,1.4,0.333,0.6,1.5,0.2,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1054,Bryce Dejean-Jones,78,209.0,1992-08-21,2016,2016,G,0,"USC, UNLV, Iowa State",14,9.6,0.406,5.6,0.524,2.0,4.9,0.8,1.5,0.9,2.3,0.375,0.493,0.429,117.0,10.8,0.684,3.8,8.8,2.3,3.3,1.0,3.1,0.336,True
1055,Sam Dekker,81,230.0,1994-05-06,2016,2022,F,6,Wisconsin,201,12.7,0.478,5.4,0.606,2.2,4.7,0.5,0.8,0.4,1.5,0.288,0.525,0.493,113.0,12.1,0.695,4.4,9.0,2.0,2.8,1.3,3.6,0.348,True
1056,Vinny Del Negro,76,185.0,1966-08-09,1989,2002,G,13,NC State,771,13.5,0.475,9.1,0.84,3.7,7.8,1.4,1.7,0.3,0.9,0.359,0.495,0.502,103.0,9.1,0.825,3.3,6.6,1.8,2.2,,,0.447,True
1057,Malcolm Delaney,75,190.0,1989-03-11,2017,2018,G,1,Virginia Tech,127,8.9,0.377,5.7,0.805,2.0,5.3,1.2,1.5,0.6,1.8,0.308,0.431,0.401,136.0,16.6,0.845,4.7,11.7,5.3,6.3,1.9,5.3,0.363,True
1058,Bison Dele,81,235.0,1969-04-06,1992,1999,F-C,7,"Maryland, Arizona",413,16.5,0.528,11.0,0.691,4.5,8.5,2.0,2.9,0.0,0.0,0.143,0.528,0.594,96.0,12.4,0.691,5.0,8.4,2.4,3.5,0.0,0.0,0.0,True
1059,Carlos Delfino,78,230.0,1982-08-29,2005,2013,G,8,nan,507,12.6,0.401,8.1,0.758,2.9,7.2,1.0,1.3,1.3,3.7,0.365,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1060,Ángel Delgado,82,245.0,1994-11-20,2019,2019,C,0,Seton Hall,2,4.3,0.2,1.5,0.5,0.5,2.5,0.5,1.0,0.0,0.0,0.0,0.2,0.538,132.0,12.1,0.539,4.9,9.1,2.3,4.3,0.0,0.0,0.0,True
1061,Tony Delk,73,189.0,1974-01-28,1997,2006,G,9,Kentucky,545,13.7,0.408,9.1,0.769,3.4,8.4,1.4,1.8,0.9,2.5,0.343,0.459,0.474,133.0,14.2,0.709,5.1,10.8,1.8,2.6,2.1,5.4,0.397,True
1062,Matthew Dellavedova,75,200.0,1990-09-08,2014,2021,G,7,Saint Mary's,447,9.8,0.386,5.5,0.84,2.0,5.1,0.7,0.8,0.9,2.5,0.364,0.474,0.415,136.0,14.2,0.86,4.3,10.5,3.4,4.0,2.1,5.6,0.378,True
1063,Fennis Dembo,77,215.0,1966-01-24,1989,1989,F,0,Wyoming,31,7.8,0.333,1.2,0.8,0.5,1.4,0.3,0.3,0.0,0.1,0.0,0.333,0.506,129.0,17.9,0.77,6.4,12.6,4.0,5.3,,,0.396,True
1064,Larry Demic,81,225.0,1957-06-27,1980,1982,F-C,2,Arizona,206,8.1,0.459,4.7,0.58,1.9,4.2,0.9,1.5,0.0,0.0,0.0,0.459,0.553,76.0,10.3,0.618,4.2,7.7,1.8,2.9,0.0,0.0,0.0,True
1065,Dell Demps,75,205.0,1970-02-12,1994,1997,G,3,University of the Pacific,20,14.4,0.5,3.0,0.762,1.1,2.1,0.8,1.1,0.1,0.2,0.333,0.512,0.455,115.0,15.1,0.695,5.2,11.4,2.7,4.0,2.0,5.1,0.394,True
1066,George Dempsey,74,190.0,1929-07-19,1955,1959,G,4,King's College,315,12.3,0.407,5.0,0.661,1.9,4.6,1.2,1.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1067,Luol Deng,81,237.0,1985-04-16,2005,2019,F,14,Duke,902,15.4,0.456,14.8,0.769,5.7,12.5,2.7,3.5,0.7,2.2,0.332,0.485,0.476,37.0,15.1,0.71,5.7,11.9,2.6,3.7,1.1,3.0,0.36,True
1068,Kenny Dennard,80,220.0,1958-10-18,1982,1984,F,2,Duke,95,9.3,0.429,2.8,0.644,1.1,2.7,0.5,0.8,0.0,0.1,0.3,0.435,0.513,117.0,9.0,0.588,3.9,7.5,1.3,2.2,0.0,0.0,0.0,True
1069,Blaine Denning,74,175.0,1930-09-19,1953,1953,G,0,Lawrence Technological University,1,18.9,0.4,5.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1070,Justin Dentmon,71,185.0,1985-09-05,2012,2013,G,1,Washington,8,3.8,0.333,3.3,0.667,1.3,3.8,0.5,0.8,0.3,1.8,0.143,0.367,0.428,133.0,10.7,0.789,3.4,8.0,2.8,3.6,1.0,2.9,0.349,True
1071,Randy Denton,82,240.0,1949-02-18,1972,1977,C,5,Duke,413,17.3,0.473,11.5,0.779,4.9,10.4,1.6,2.1,0.0,0.0,0.214,0.473,0.535,84.0,19.7,0.68,8.3,15.4,3.2,4.8,0.0,0.0,0.0,True
1072,Rod Derline,72,175.0,1952-03-11,1975,1976,G,1,Seattle University,107,12.7,0.419,4.8,0.786,2.0,4.8,0.8,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1073,Marcus Derrickson,79,249.0,1996-02-01,2019,2019,F,0,Georgetown,11,19.4,0.485,4.2,0.8,1.5,3.0,0.4,0.5,0.9,1.8,0.5,0.636,0.459,89.0,10.3,0.856,3.3,7.2,2.4,2.8,1.3,3.3,0.397,True
1074,Dave Deutsch,73,170.0,1945-05-13,1967,1967,G,0,University of Rochester,19,2.4,0.167,1.1,0.45,0.3,1.9,0.5,1.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1075,Corky Devlin,77,195.0,1931-12-21,1956,1958,G,2,George Washington,210,11.7,0.366,7.1,0.742,2.7,7.3,1.8,2.4,0.0,0.0,0.0,,0.487,78.0,20.1,0.802,7.9,16.3,4.2,5.2,0.0,0.0,0.0,True
1076,Ernie DiGregorio,72,180.0,1951-01-15,1974,1978,G,4,Providence,312,12.2,0.415,9.6,0.902,4.1,9.8,1.5,1.6,0.0,0.0,0.0,,0.468,86.0,20.5,0.812,8.8,18.8,2.9,3.5,0.0,0.0,0.0,True
1077,Donte DiVincenzo,76,203.0,1997-01-31,2019,2021,G,2,Villanova,159,13.0,0.432,9.0,0.728,3.4,7.8,0.8,1.1,1.5,4.3,0.349,0.528,0.469,85.0,10.2,0.705,3.6,7.6,1.6,2.2,1.5,4.0,0.378,True
1078,Mamadi Diakite,81,228.0,1997-01-21,2021,2021,F,0,Virginia,14,12.3,0.4,3.1,0.786,1.1,2.9,0.8,1.0,0.1,0.6,0.125,0.413,0.524,134.0,7.4,0.72,3.0,5.6,1.3,1.8,0.2,0.6,0.337,True
1079,Derrick Dial,76,184.0,1975-12-20,2000,2004,G,4,Eastern Michigan,82,12.2,0.372,3.1,0.672,1.3,3.4,0.5,0.7,0.1,0.5,0.19,0.386,0.48,122.0,15.5,0.774,5.7,11.8,2.4,3.1,1.8,4.7,0.377,True
1080,Cheick Diallo,80,219.0,1996-09-13,2017,2020,F,3,Kansas,180,17.1,0.598,5.3,0.772,2.2,3.7,0.8,1.1,0.0,0.0,0.286,0.6,0.569,27.0,3.0,0.556,1.2,2.1,0.6,1.0,0.0,0.0,,True
1081,Hamidou Diallo,77,202.0,1998-07-31,2019,2022,G,3,Kentucky,163,12.1,0.468,7.4,0.64,2.9,6.2,1.3,2.1,0.3,1.1,0.288,0.493,0.428,37.0,10.0,0.616,3.6,8.5,2.1,3.4,0.7,2.1,0.338,True
1082,Boris Diaw,80,250.0,1982-04-16,2004,2017,F-C,13,nan,1064,12.9,0.493,8.6,0.717,3.6,7.2,1.0,1.4,0.4,1.3,0.336,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1083,Yakhouba Diawara,79,225.0,1982-08-29,2007,2010,G-F,3,Pepperdine,187,6.1,0.357,3.5,0.65,1.2,3.5,0.4,0.6,0.7,2.2,0.301,0.45,0.456,45.0,15.5,0.65,5.4,11.9,3.8,5.9,0.8,2.2,0.343,True
1084,Guillermo Díaz,74,192.0,1985-03-04,2008,2008,G,0,Miami (FL),6,9.9,0.25,0.8,0.6,0.2,0.7,0.5,0.8,0.0,0.2,0.0,0.25,0.448,93.0,15.9,0.74,5.5,12.4,2.9,3.9,1.9,4.9,0.38,True
1085,Dan Dickau,72,190.0,1978-09-16,2003,2008,G,5,"Washington, Gonzaga",300,12.9,0.401,5.8,0.831,2.0,5.1,1.2,1.4,0.6,1.8,0.341,0.46,0.451,97.0,13.3,0.854,3.9,8.7,3.3,3.8,2.2,4.8,0.462,True
1086,Kaniel Dickens,80,215.0,1978-07-21,2004,2008,F,4,"Tyler Junior College, Idaho",19,9.0,0.4,1.2,0.75,0.4,1.1,0.2,0.2,0.2,0.5,0.333,0.475,0.483,55.0,9.3,0.63,3.3,6.9,2.4,3.8,0.2,0.7,0.351,True
1087,Henry Dickerson,76,190.0,1951-11-27,1976,1977,G,1,University of Charleston,23,6.0,0.366,2.0,0.625,0.7,1.8,0.7,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1088,Michael Dickerson,77,190.0,1975-06-25,1999,2003,G-F,4,Arizona,212,13.4,0.432,15.4,0.784,5.8,13.3,2.5,3.2,1.4,3.4,0.402,0.483,0.458,130.0,13.8,0.728,5.1,11.2,2.3,3.2,1.2,3.2,0.367,True
1089,Clyde Dickey,75,185.0,1951-12-14,1975,1975,G,0,Boise State,58,5.5,0.35,2.8,0.762,1.2,3.5,0.3,0.4,0.0,0.3,0.133,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1090,Derrek Dickey,79,218.0,1951-03-20,1974,1978,F,4,Cincinnati,321,13.2,0.47,6.1,0.745,2.7,5.7,0.8,1.1,0.0,0.0,0.0,,0.48,78.0,17.0,0.605,7.1,14.9,2.7,4.5,0.0,0.0,0.0,True
1091,Dick Dickey,73,175.0,1926-10-26,1952,1952,G,0,NC State,45,9.6,0.294,2.8,0.681,0.9,3.0,1.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1092,John Dickson,82,240.0,1945-11-18,1968,1968,C,0,Arkansas State University,21,8.2,0.359,1.7,0.615,0.7,1.9,0.4,0.6,0.0,0.0,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1093,Travis Diener,73,175.0,1982-03-01,2006,2010,G,4,Marquette,179,12.5,0.388,4.8,0.847,1.7,4.3,0.5,0.6,0.9,2.6,0.353,0.495,0.416,120.0,14.1,0.837,4.3,10.2,3.2,3.8,2.4,5.7,0.413,True
1094,Gorgui Dieng,82,252.0,1990-01-18,2014,2022,C,8,Louisville,572,16.3,0.499,7.6,0.791,2.9,5.8,1.6,2.0,0.3,0.7,0.352,0.522,0.545,102.0,8.3,0.64,3.3,6.1,1.7,2.7,0.0,0.0,0.333,True
1095,Connie Dierking,81,222.0,1936-10-02,1959,1971,C-F,12,Cincinnati,706,13.4,0.417,10.0,0.697,4.1,9.7,1.9,2.8,0.0,0.0,0.0,,0.433,69.0,12.7,0.571,4.8,11.1,3.1,5.5,0.0,0.0,0.0,True
1096,Coby Dietrick,82,220.0,1948-07-23,1971,1983,C-F,12,San Jose State,842,12.6,0.462,6.1,0.735,2.6,5.5,1.0,1.3,0.0,0.1,0.194,0.463,0.441,72.0,16.3,0.668,6.5,14.6,3.4,5.1,0.0,0.0,0.0,True
1097,Craig Dill,83,215.0,1944-12-17,1968,1968,C,0,Michigan,65,9.6,0.383,6.8,0.67,2.9,7.5,1.1,1.6,0.0,0.0,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1098,Dwaine Dillard,78,230.0,1949-03-09,1976,1976,F,0,Eastern Michigan,3,7.2,0.333,1.3,1.0,0.3,1.0,0.7,0.7,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1099,Mickey Dillard,75,170.0,1958-10-15,1982,1982,G,0,Florida State,33,7.0,0.367,2.2,0.652,0.9,2.4,0.5,0.7,0.0,0.1,0.0,0.367,0.513,115.0,15.1,0.768,5.6,10.9,3.9,5.1,0.0,0.0,0.0,True
1100,Bob Dille,75,190.0,1917-07-02,1947,1947,F,0,Valparaiso,57,-,0.197,5.2,0.667,1.9,9.9,1.3,1.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1101,Hook Dillon,75,180.0,1924-01-08,1950,1950,F,0,UNC,22,-,0.182,1.6,0.727,0.5,2.5,0.7,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1102,Byron Dinkins,73,170.0,1967-06-15,1990,1991,G,1,UNC Charlotte,45,9.1,0.406,3.4,0.872,1.3,3.2,0.8,0.9,0.0,0.2,0.111,0.409,0.45,118.0,14.0,0.697,5.4,12.0,2.1,3.0,,,0.343,True
1103,Jackie Dinkins,77,210.0,1950-01-22,1972,1972,F,0,Voorhees College,18,13.7,0.415,2.5,0.55,0.9,2.3,0.6,1.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1104,Harry Dinnel,76,200.0,1940-10-09,1968,1968,F-G,0,Pepperdine,11,4.5,0.316,1.7,0.875,0.5,1.7,0.6,0.7,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1105,Bill Dinwiddie,79,220.0,1943-07-15,1968,1972,F,4,New Mexico Highlands University,220,8.2,0.369,4.4,0.61,1.8,5.0,0.8,1.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1106,Spencer Dinwiddie,77,215.0,1993-04-06,2015,2022,G,7,Colorado,337,15.5,0.41,13.0,0.799,4.2,10.2,3.2,4.0,1.4,4.4,0.321,0.479,0.42,86.0,13.0,0.83,3.4,8.0,4.9,5.9,1.3,3.5,0.386,True
