,player_name,height,weight,birth_date,active_from,active_to,position,years_played_NBA,college,NBA_g_played,NBA_per,NBA_fg%,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,go_college
124,Keith Appling,73,185.0,1992-02-13,2016,2016,G,0,Michigan State,5,-4.8,0.25,1.2,1.0,0.4,1.6,0.4,0.4,0.0,0.6,0.0,0.25,0.431,142.0,10.6,0.748,3.5,8.0,2.7,3.7,1.0,2.9,0.334,True
125,Rafael Araújo,83,280.0,1980-08-12,2005,2007,C,2,BYU,139,6.3,0.405,2.8,0.679,1.1,2.8,0.5,0.8,0.0,0.0,0.25,0.406,0.567,62.0,15.1,0.691,5.9,10.4,3.1,4.5,0.2,0.7,0.268,True
126,Stacey Arceneaux,76,210.0,1936-02-17,1962,1962,F,0,Iowa State,7,10.4,0.393,7.1,0.462,3.1,8.0,0.9,1.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
127,Robert Archibald,83,250.0,1980-03-29,2003,2004,F,1,Illinois,44,4.9,0.283,1.2,0.429,0.3,1.2,0.5,1.1,0.0,0.0,0.0,0.283,0.57,130.0,6.2,0.681,2.0,3.5,2.2,3.2,0.0,0.0,0.0,True
128,Tiny Archibald,73,150.0,1948-09-02,1971,1984,G,13,Texas-El Paso,876,18.0,0.467,18.8,0.81,6.7,14.4,5.3,6.6,0.1,0.3,0.224,0.468,0.507,73.0,20.0,0.785,7.0,13.8,6.0,7.7,0.0,0.0,0.0,True
129,Ryan Arcidiacono,75,195.0,1994-03-26,2018,2021,G,3,Villanova,207,10.3,0.431,4.8,0.807,1.7,3.8,0.6,0.8,0.8,2.2,0.373,0.537,0.397,144.0,11.1,0.8,3.4,8.5,2.6,3.2,1.8,5.1,0.358,True
130,Jim Ard,80,215.0,1948-09-19,1971,1978,F-C,7,Cincinnati,431,10.6,0.402,4.4,0.662,1.7,4.3,0.9,1.4,0.0,0.1,0.235,0.403,0.479,76.0,16.5,0.637,6.4,13.3,3.8,5.9,0.0,0.0,0.0,True
131,Gilbert Arenas,76,191.0,1982-01-06,2002,2012,G,10,Arizona,552,19.6,0.421,20.7,0.803,6.7,16.0,5.2,6.5,2.0,5.6,0.351,0.482,0.466,70.0,15.8,0.738,5.6,12.1,3.0,4.0,1.5,4.2,0.361,True
132,Trevor Ariza,80,215.0,1985-06-30,2005,2021,F,16,UCLA,1094,13.2,0.423,10.5,0.732,3.7,8.9,1.6,2.1,1.4,4.1,0.352,0.504,0.426,25.0,11.6,0.504,4.3,10.0,2.3,4.5,0.7,3.0,0.237,True
133,Paul Arizin,76,190.0,1928-04-09,1951,1962,F-G,11,Villanova,713,19.7,0.421,22.8,0.81,7.9,18.7,7.0,8.7,0.0,0.0,0.0,,1.083,80.0,20.0,0.745,7.1,6.6,5.7,7.6,0.0,0.0,0.0,True
