,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
540,540,/players/b/brownda01.html,Darrell Brown,1949,1949,F,Humboldt State University,6-2,175.0,"March 14, 1923",0.333,3.0,1.3,0.0,0.7,2.0,0.0,0.7,,,,,,,,,,,,,,,
541,541,/players/b/brownde01.html,Dee Brown,1991,2002,G,Jacksonville University,6-1,160.0,"November 29, 1968",0.436,608.0,11.1,0.825,4.2,9.6,1.8,2.1,1.0,2.8,0.357,0.488,0.482,108.0,13.9,0.763,5.4,11.3,2.3,3.0,0.8,2.2,0.366
542,542,/players/b/brownde03.html,Dee Brown,2007,2009,G,Illinois,6-0,185.0,"August 17, 1984",0.34,68.0,2.1,0.643,0.7,2.2,0.4,0.6,0.2,0.8,0.25,0.384,0.422,137.0,13.2,0.725,4.7,11.0,1.7,2.4,2.2,6.1,0.36
543,543,/players/b/brownde04.html,Derrick Brown,2010,2012,F,Xavier,6-7,225.0,"September 8, 1987",0.515,171.0,5.2,0.637,2.1,4.0,1.0,1.6,0.1,0.2,0.317,0.525,0.573,106.0,10.3,0.718,3.7,6.5,2.4,3.3,0.5,1.2,0.415
544,544,/players/b/brownde02.html,Devin Brown,2003,2010,G,Texas-San Antonio,6-5,220.0,"December 30, 1978",0.401,465.0,7.2,0.776,2.5,6.3,1.5,2.0,0.6,1.9,0.338,0.452,0.411,105.0,18.3,0.733,6.1,14.7,4.6,6.2,1.6,5.2,0.309
545,545,/players/b/browner01.html,Ernest Brown,2002,2002,C,Indian Hills Community College,7-0,244.0,"May 17, 1979",0.167,3.0,1.0,0.25,0.3,2.0,0.3,1.3,0.0,0.0,,0.167,,,,,,,,,,,
546,546,/players/b/brownfr01.html,Fred Brown,1972,1984,G,Iowa,6-3,182.0,"August 7, 1948",0.478,963.0,14.6,0.858,6.2,13.1,2.0,2.3,0.3,0.8,0.373,0.482,0.501,48.0,22.7,0.819,9.3,18.6,4.1,5.0,,,
547,547,/players/b/brownge01.html,George Brown,1958,1958,F,Wayne State University,6-6,190.0,"October 30, 1935",0.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,,,,,0.404,18.0,17.8,0.748,6.7,16.5,4.4,5.9,,,
548,548,/players/b/brownge02.html,Gerald Brown,1999,1999,G,Pepperdine,6-4,210.0,"July 28, 1975",0.371,33.0,2.4,0.786,1.0,2.7,0.3,0.4,0.1,0.3,0.3,0.388,0.462,110.0,13.3,0.768,5.1,10.9,2.4,3.1,0.8,2.3,0.369
549,549,/players/b/browngr01.html,Greg Brown,2022,2022,F,Texas,6-9,205.0,"September 1, 2001",0.429,5.0,2.4,0.0,1.2,2.8,0.0,0.6,0.0,0.6,0.0,0.429,0.42,26.0,9.3,0.708,3.1,7.4,2.0,2.8,1.2,3.5,0.33
550,550,/players/b/brownha01.html,Harold Brown,1947,1947,G,University of Evansville,6-0,155.0,"October 2, 1923",0.248,54.0,4.9,0.632,1.8,7.1,1.4,2.2,,,,,,,,,,,,,,,
551,551,/players/b/brownja01.html,Jabari Brown,2015,2015,G,"Oregon, Missouri",6-4,215.0,"December 18, 1992",0.412,19.0,11.9,0.753,3.7,8.9,3.4,4.5,1.2,3.3,0.371,0.479,0.441,62.0,17.0,0.782,5.0,11.2,4.9,6.2,2.2,5.7,0.386
552,552,/players/b/brownja02.html,Jaylen Brown,2017,2022,F-G,California,6-6,223.0,"October 24, 1996",0.474,344.0,15.3,0.701,5.7,12.1,2.2,3.2,1.7,4.4,0.378,0.543,0.431,34.0,14.6,0.654,4.8,11.1,4.2,6.4,0.9,3.0,0.294
553,553,/players/b/brownjo01.html,John Brown,1974,1980,F,Missouri,6-7,220.0,"December 14, 1951",0.453,486.0,7.4,0.783,2.8,6.1,1.9,2.4,0.0,0.0,,0.453,0.526,72.0,19.7,0.763,7.3,13.8,5.2,6.9,,,
554,554,/players/b/brownke01.html,Kedrick Brown,2002,2005,G,Okaloosa-Walton Community College,6-7,222.0,"March 18, 1981",0.405,143.0,3.6,0.64,1.4,3.5,0.4,0.6,0.3,1.2,0.274,0.451,,,,,,,,,,,
556,556,/players/b/brownla01.html,Larry Brown,1968,1972,G,UNC,5-9,160.0,"September 14, 1940",0.412,376.0,11.2,0.813,3.7,8.9,3.8,4.6,0.1,0.6,0.23,0.419,0.45,56.0,11.8,0.781,3.9,8.7,3.9,5.1,,,
557,557,/players/b/brownle01.html,Leon Brown,1947,1947,F,Wyoming,6-3,190.0,"October 12, 1919",0.0,5.0,0.0,,0.0,0.6,0.0,0.0,,,,,,,,,,,,,,,
558,558,/players/b/brownle02.html,Lewis Brown,1981,1981,C,UNLV,6-11,225.0,"February 19, 1955",0.0,2.0,1.0,0.4,0.0,1.5,1.0,2.5,0.0,0.0,,0.0,0.481,113.0,11.4,0.656,5.1,10.5,1.3,1.9,,,
559,559,/players/b/brownlo01.html,Lorenzo Brown,2014,2019,G,NC State,6-5,189.0,"August 26, 1990",0.364,103.0,2.8,0.707,1.2,3.3,0.3,0.4,0.2,1.0,0.17,0.391,0.429,101.0,11.6,0.741,4.1,9.5,2.8,3.8,0.6,2.1,0.305
560,560,/players/b/brownma01.html,Marcus Brown,1997,2000,G,Murray State,6-3,185.0,"April 3, 1974",0.381,27.0,3.4,0.714,1.2,3.1,0.6,0.8,0.5,1.4,0.333,0.458,0.493,118.0,18.9,0.849,6.2,12.7,5.0,5.8,1.5,3.9,0.372
561,561,/players/b/brownma02.html,Markel Brown,2015,2018,G,Oklahoma State,6-3,190.0,"January 29, 1992",0.38,113.0,5.2,0.781,1.8,4.8,1.0,1.3,0.5,1.7,0.295,0.432,0.439,134.0,12.4,0.733,4.1,9.4,3.0,4.1,1.1,3.1,0.347
562,562,/players/b/brownmi01.html,Mike Brown,1987,1997,C-F,George Washington,6-9,257.0,"July 19, 1963",0.455,626.0,5.0,0.69,1.8,4.0,1.4,2.0,0.0,0.0,0.125,0.455,0.509,111.0,17.3,0.653,6.4,12.6,4.5,6.8,,,
563,563,/players/b/brownmo01.html,Moses Brown,2020,2022,C,UCLA,7-2,245.0,"October 13, 1999",0.543,56.0,6.9,0.593,2.7,5.0,1.5,2.5,0.0,0.0,,0.543,0.607,32.0,9.7,0.352,4.2,6.8,1.4,4.0,0.0,0.0,
564,564,/players/b/brownmy01.html,Myron Brown,1992,1992,G,Slippery Rock University of Pennsylvania,6-3,180.0,"November 3, 1969",0.667,4.0,2.3,,1.0,1.5,0.0,0.0,0.3,0.8,0.333,0.75,,,,,,,,,,,
565,565,/players/b/brownpj01.html,P.J. Brown,1994,2008,F-C,Louisiana Tech,6-11,225.0,"October 14, 1969",0.46,1089.0,9.1,0.794,3.5,7.7,2.0,2.5,0.0,0.1,0.136,0.461,0.488,121.0,10.1,0.654,3.9,8.1,2.1,3.2,0.2,0.4,0.377
566,566,/players/b/brownra02.html,Randy Brown,1992,2003,G,"Houston, New Mexico State",6-2,190.0,"May 22, 1968",0.417,655.0,4.8,0.691,1.9,4.7,0.9,1.3,0.0,0.2,0.2,0.421,0.436,117.0,9.1,0.703,3.0,6.8,3.0,4.2,0.2,0.7,0.31
567,567,/players/b/brownra01.html,Raymond Brown,1990,1990,F,"Mississippi State, Idaho",6-8,220.0,"July 5, 1965",0.286,16.0,1.0,0.0,0.5,1.8,0.0,0.1,0.0,0.0,,0.286,0.517,119.0,13.1,0.636,5.4,10.5,2.1,3.4,,,0.385
568,568,/players/b/brownri01.html,Rickey Brown,1981,1985,C-F,Mississippi State,6-10,215.0,"August 20, 1958",0.464,340.0,4.4,0.667,1.8,3.9,0.7,1.1,0.0,0.0,0.0,0.464,0.487,107.0,17.2,0.689,7.2,14.8,2.7,3.9,,,
569,569,/players/b/brownro01.html,Roger Brown,1968,1975,F-G,Dayton,6-5,205.0,"May 22, 1942",0.469,605.0,17.4,0.791,6.4,13.6,4.1,5.2,0.5,1.6,0.321,0.488,,,,,,,,,,,
570,570,/players/b/brownro02.html,Roger Brown,1973,1980,C,Kansas,6-11,225.0,"February 23, 1950",0.406,239.0,2.4,0.624,1.0,2.4,0.5,0.7,0.0,0.0,1.0,0.408,0.448,79.0,7.9,0.551,3.2,7.1,1.5,2.7,,,
571,571,/players/b/brownsh01.html,Shannon Brown,2007,2015,G,Michigan State,6-4,205.0,"November 29, 1985",0.42,408.0,7.6,0.807,2.9,7.0,1.1,1.4,0.7,2.0,0.332,0.468,0.457,97.0,12.2,0.831,4.3,9.4,2.5,3.0,1.1,3.1,0.364
573,573,/players/b/brownst02.html,Sterling Brown,2018,2022,G,SMU,6-5,219.0,"February 10, 1995",0.421,221.0,5.8,0.784,2.2,5.1,0.5,0.6,1.0,2.7,0.368,0.52,0.504,136.0,8.2,0.77,2.9,5.8,1.4,1.9,0.9,2.1,0.451
574,574,/players/b/brownti01.html,Tierre Brown,2002,2005,G,McNeese State University,6-2,189.0,"June 3, 1979",0.384,134.0,3.9,0.769,1.5,3.9,0.7,0.9,0.2,0.6,0.353,0.413,0.444,110.0,15.4,0.734,5.6,12.6,3.3,4.5,1.0,2.8,0.337
575,575,/players/b/brownto01.html,Tony Brown,1985,1992,F-G,Arkansas,6-6,185.0,"July 29, 1960",0.437,360.0,6.0,0.719,2.4,5.5,1.1,1.6,0.1,0.4,0.259,0.446,0.572,110.0,5.4,0.695,2.2,3.9,1.0,1.4,,,
576,576,/players/b/browntr01.html,Troy Brown,2019,2022,G-F,Oregon,6-6,215.0,"July 28, 1999",0.432,161.0,7.1,0.751,2.7,6.3,1.0,1.3,0.7,2.0,0.331,0.485,0.444,35.0,11.3,0.743,4.1,9.2,2.2,3.0,0.9,3.1,0.291
578,578,/players/b/brundst01.html,Stanley Brundy,1990,1990,F,DePaul,6-6,210.0,"November 13, 1967",0.5,16.0,2.3,0.389,0.9,1.9,0.4,1.1,0.0,0.0,,0.5,0.627,112.0,12.3,0.49,5.5,8.7,1.4,2.8,,,
579,579,/players/b/brunkbr01.html,Brian Brunkhorst,1969,1969,F,Marquette,6-6,208.0,"June 12, 1945",0.545,3.0,8.3,0.765,2.0,3.7,4.3,5.7,0.0,0.0,,0.545,,,,,,,,,,,
580,580,/players/b/brunsge01.html,George Bruns,1973,1973,G,Manhattan College,6-0,160.0,"August 30, 1946",0.47,13.0,6.6,0.815,2.4,5.1,1.7,2.1,0.2,0.3,0.5,0.485,,,,,,,,,,,
581,581,/players/b/brunsja01.html,Jalen Brunson,2019,2022,G,Villanova,6-1,190.0,"August 31, 1996",0.489,206.0,10.3,0.772,4.0,8.1,1.4,1.8,1.0,2.6,0.376,0.548,0.51,116.0,14.4,0.82,5.0,9.8,2.9,3.5,1.5,3.9,0.393
582,582,/players/b/brunsri01.html,Rick Brunson,1998,2006,G,Temple,6-4,190.0,"June 14, 1972",0.378,337.0,3.2,0.693,1.2,3.1,0.6,0.8,0.3,0.8,0.362,0.426,0.371,124.0,12.0,0.658,3.9,10.4,2.8,4.2,1.5,5.2,0.294
584,584,/players/b/bryanel01.html,Elijah Bryant,2021,2021,G,"Elon University, BYU",6-5,210.0,"April 19, 1995",0.462,1.0,16.0,1.0,6.0,13.0,3.0,3.0,1.0,5.0,0.2,0.5,0.437,91.0,15.1,0.8,4.7,10.9,3.9,4.9,1.7,4.6,0.366
585,585,/players/b/bryanem01.html,Em Bryant,1965,1972,G,DePaul,6-1,175.0,"November 4, 1938",0.41,566.0,6.6,0.69,2.7,6.5,1.3,1.8,,,,,,,,,,,,,,,
586,586,/players/b/bryanjo01.html,Joe Bryant,1976,1983,F-C,La Salle,6-9,185.0,"October 19, 1954",0.45,606.0,8.7,0.743,3.5,7.7,1.7,2.3,0.1,0.4,0.2,0.453,0.488,55.0,20.3,0.715,8.3,17.0,3.7,5.2,,,
588,588,/players/b/bryanma01.html,Mark Bryant,1989,2003,F-C,Seton Hall,6-9,245.0,"April 25, 1965",0.5,797.0,5.4,0.697,2.2,4.4,1.0,1.5,0.0,0.0,0.083,0.5,0.521,118.0,16.2,0.705,6.2,11.8,3.8,5.4,,,0.667
589,589,/players/b/bryanth01.html,Thomas Bryant,2018,2021,C,Indiana,6-10,248.0,"July 31, 1997",0.6,143.0,10.7,0.748,4.3,7.2,1.5,2.0,0.6,1.5,0.362,0.639,0.592,69.0,12.2,0.718,4.4,7.5,3.0,4.1,0.4,1.1,0.373
590,590,/players/b/bryanwa01.html,Wallace Bryant,1984,1986,C,San Francisco,7-0,245.0,"July 14, 1959",0.407,102.0,3.2,0.573,1.3,3.2,0.5,0.9,0.0,0.0,,0.407,0.487,118.0,13.0,0.633,5.4,11.1,2.2,3.4,,,
591,591,/players/b/brynto01.html,Torgeir Bryn,1990,1990,C,Texas State University,6-9,250.0,"August 8, 1964",0.0,3.0,1.3,0.667,0.0,0.7,1.3,2.0,0.0,0.0,,0.0,0.505,61.0,15.9,0.73,6.1,12.1,3.7,5.1,0.0,0.0,0.0
592,592,/players/b/buccige01.html,George Bucci,1976,1976,G,Manhattan College,6-3,200.0,"July 9, 1953",0.403,33.0,3.9,0.683,1.5,3.8,0.8,1.2,0.0,0.1,0.0,0.403,,,,,,,,,,,
593,593,/players/b/buckhjo01.html,Joe Buckhalter,1962,1963,F,Tennessee State,6-7,210.0,"August 1, 1937",0.451,65.0,5.8,0.627,2.4,5.2,1.1,1.7,,,,,,,,,,,,,,,
594,594,/players/b/bucknst01.html,Steve Bucknall,1990,1990,G,UNC,6-6,215.0,"March 17, 1966",0.273,18.0,1.3,0.833,0.5,1.8,0.3,0.3,0.0,0.1,0.0,0.273,0.478,130.0,7.5,0.755,2.6,5.4,1.8,2.4,,,0.423
595,595,/players/b/buckncl01.html,Cleveland Buckner,1962,1963,F-C,Jackson State University,6-9,210.0,"August 17, 1938",0.432,68.0,6.0,0.62,2.4,5.5,1.3,2.0,,,,,,,,,,,,,,,
596,596,/players/b/buckngr01.html,Greg Buckner,2000,2009,G,Clemson,6-4,210.0,"September 16, 1976",0.45,570.0,5.0,0.757,2.0,4.4,0.7,0.9,0.4,1.3,0.334,0.498,0.504,122.0,14.4,0.665,5.6,11.0,2.8,4.3,0.4,1.5,0.276
597,597,/players/b/bucknqu01.html,Quinn Buckner,1977,1986,G,Indiana,6-3,190.0,"August 20, 1954",0.461,719.0,8.2,0.657,3.5,7.7,1.2,1.8,0.0,0.1,0.184,0.461,0.432,120.0,10.0,0.554,4.3,10.0,1.3,2.3,,,
598,598,/players/b/buddda01.html,Dave Budd,1961,1965,F,Wake Forest,6-6,205.0,"October 28, 1938",0.46,353.0,7.1,0.682,2.7,5.9,1.6,2.4,,,,,0.466,75.0,13.5,0.692,4.3,9.1,5.0,7.2,,,
599,599,/players/b/budinch01.html,Chase Budinger,2010,2016,F,Arizona,6-7,209.0,"May 22, 1988",0.43,407.0,7.9,0.797,2.9,6.8,1.0,1.3,1.0,2.9,0.352,0.504,0.469,100.0,17.0,0.782,6.0,12.8,3.1,4.0,1.9,5.0,0.383
600,600,/players/b/budkowa01.html,Walt Budko,1949,1952,F-C,Columbia University,6-5,220.0,"July 30, 1925",0.342,253.0,8.1,0.757,2.7,7.9,2.6,3.5,,,,,,24.0,15.9,0.709,5.7,,4.5,6.3,,,
601,601,/players/b/buechju01.html,Jud Buechler,1991,2002,F-G,Arizona,6-6,220.0,"June 19, 1968",0.433,720.0,3.3,0.633,1.3,3.1,0.3,0.4,0.4,1.0,0.366,0.492,0.547,131.0,8.7,0.743,3.4,6.1,1.7,2.3,0.3,0.8,0.381
602,602,/players/b/buforro01.html,Rodney Buford,2000,2005,G-F,Creighton,6-5,189.0,"November 2, 1977",0.412,230.0,6.4,0.758,2.7,6.7,0.6,0.8,0.3,1.1,0.3,0.436,0.447,118.0,17.9,0.753,6.6,14.7,2.9,3.9,1.8,4.7,0.38
603,603,/players/b/bullama01.html,Matt Bullard,1991,2002,F,"Colorado, Iowa",6-10,215.0,"June 5, 1967",0.418,615.0,5.3,0.768,2.0,4.7,0.4,0.5,1.0,2.5,0.384,0.521,0.533,94.0,12.8,0.768,4.9,9.2,2.5,3.3,,,0.336
604,604,/players/b/bullore01.html,Reggie Bullock,2014,2022,G-F,UNC,6-6,205.0,"March 16, 1991",0.432,374.0,7.6,0.839,2.8,6.4,0.6,0.7,1.5,3.9,0.39,0.551,0.439,100.0,9.9,0.72,3.6,8.2,0.9,1.2,1.9,4.9,0.387
605,605,/players/b/buncela01.html,Larry Bunce,1968,1969,C,Utah State University,7-0,240.0,"July 29, 1945",0.42,129.0,8.9,0.716,3.0,7.1,2.9,4.0,0.0,0.0,0.0,0.42,,,,,,,,,,,
606,606,/players/b/bunchgr01.html,Greg Bunch,1979,1979,F,Cal State Fullerton,6-6,190.0,"May 15, 1956",0.346,12.0,2.3,0.833,0.8,2.2,0.8,1.0,,,,,,,,,,,,,,,
607,607,/players/b/buntdi01.html,Dick Bunt,1953,1953,G,NYU,6-0,170.0,"July 13, 1930",0.276,26.0,3.5,0.708,1.1,4.0,1.3,1.8,,,,,,,,,,,,,,,
608,608,/players/b/buntibi01.html,Bill Buntin,1966,1966,C-F,Michigan,6-7,250.0,"May 5, 1942",0.395,42.0,7.7,0.615,2.8,7.1,2.1,3.4,,,,,,,,,,,,,,,
609,609,/players/b/buntibi02.html,Bill Bunting,1970,1972,F-C,UNC,6-8,200.0,"August 26, 1947",0.421,145.0,4.3,0.789,1.5,3.5,1.3,1.7,0.0,0.0,0.0,0.421,,,,,,,,,,,
610,610,/players/b/burdeti01.html,Ticky Burden,1976,1978,G,Utah,6-2,185.0,"February 28, 1953",0.443,134.0,13.1,0.736,5.3,11.9,2.5,3.4,0.1,0.5,0.222,0.446,,,,,,,,,,,
611,611,/players/b/burkepa01.html,Pat Burke,2003,2007,C-F,Auburn,6-11,250.0,"December 14, 1973",0.408,127.0,3.7,0.663,1.6,3.8,0.5,0.7,0.1,0.3,0.25,0.417,0.491,120.0,8.9,0.631,3.5,7.2,1.7,2.7,0.2,0.8,0.222
612,612,/players/b/burketr01.html,Trey Burke,2014,2022,G,Michigan,6-0,185.0,"November 12, 1992",0.411,459.0,10.0,0.809,3.9,9.4,1.1,1.4,1.2,3.4,0.346,0.474,0.45,73.0,16.9,0.777,6.0,13.3,3.1,4.0,1.8,5.0,0.367
613,613,/players/b/burkmro01.html,Roger Burkman,1982,1982,G,Louisville,6-5,175.0,"May 22, 1958",0.0,6.0,0.8,0.833,0.0,0.7,0.8,1.0,0.0,0.2,0.0,0.0,0.419,120.0,3.6,0.722,1.1,2.6,1.5,2.0,,,
614,614,/players/b/burksal01.html,Alec Burks,2012,2022,G,Colorado,6-6,214.0,"July 20, 1991",0.422,552.0,10.5,0.796,3.6,8.4,2.4,3.0,0.9,2.5,0.374,0.477,0.495,68.0,19.0,0.804,6.2,12.6,5.9,7.3,0.7,2.2,0.313
615,615,/players/b/burksan01.html,Antonio Burks,2005,2006,G,Memphis,6-1,200.0,"February 25, 1980",0.387,81.0,2.3,0.571,1.0,2.5,0.3,0.5,0.0,0.2,0.235,0.397,0.469,91.0,11.3,0.673,4.3,9.2,2.0,3.0,0.7,1.7,0.401
616,616,/players/b/burleke01.html,Kevin Burleson,2006,2006,G,Minnesota,6-3,205.0,"September 4, 1979",0.25,39.0,1.8,0.941,0.6,2.3,0.4,0.4,0.3,1.4,0.185,0.307,0.371,123.0,7.0,0.751,2.2,6.0,1.4,1.9,1.2,3.6,0.331
617,617,/players/b/burleto01.html,Tom Burleson,1975,1981,C,NC State,7-2,225.0,"February 24, 1952",0.445,446.0,9.4,0.726,3.5,7.9,2.4,3.3,0.0,0.0,0.0,0.445,0.516,84.0,19.0,0.687,7.6,14.8,3.8,5.5,,,
618,618,/players/b/burmaja01.html,Jack Burmaster,1950,1950,G,Illinois,6-3,190.0,"December 23, 1926",0.333,61.0,9.8,0.681,3.9,11.7,2.0,3.0,,,,,,,,,,,,,,,
619,619,/players/b/burnsda01.html,David Burns,1982,1982,G,Saint Louis,6-2,180.0,"July 3, 1958",0.438,9.0,2.6,0.6,0.8,1.8,1.0,1.7,0.0,0.0,,0.438,0.548,54.0,19.4,0.711,7.4,13.5,4.6,6.5,,,
620,620,/players/b/burnsev01.html,Evers Burns,1994,1994,F,Maryland,6-8,260.0,"August 24, 1971",0.4,23.0,2.4,0.522,1.0,2.4,0.5,1.0,0.0,0.0,,0.4,0.499,113.0,11.6,0.614,4.8,9.7,2.0,3.2,0.0,0.0,0.25
621,621,/players/b/burnsji01.html,Jim Burns,1968,1968,G,Northwestern,6-3,195.0,"September 21, 1945",0.375,36.0,4.4,0.573,1.5,4.0,1.4,2.5,0.0,0.1,0.0,0.375,,,,,,,,,,,
622,622,/players/b/burresc01.html,Scott Burrell,1994,2001,G-F,UConn,6-7,218.0,"January 12, 1971",0.418,383.0,6.9,0.723,2.5,6.1,1.0,1.3,0.9,2.4,0.373,0.491,0.426,119.0,13.1,0.64,4.6,10.7,2.6,4.0,1.4,4.0,0.357
623,623,/players/b/burriar01.html,Art Burris,1951,1952,F,Tennessee,6-5,220.0,"April 7, 1924",0.26,74.0,2.5,0.627,0.9,3.6,0.6,1.0,,,,,,,,,,,,,,,
624,624,/players/b/burroju01.html,Junior Burrough,1996,1996,F,Virginia,6-8,242.0,"January 18, 1973",0.376,61.0,3.1,0.656,1.0,2.8,1.0,1.5,0.0,0.0,,0.376,0.449,129.0,15.3,0.673,5.9,13.1,3.4,5.1,0.1,0.4,0.283
625,625,/players/b/burrobo01.html,Bob Burrow,1957,1958,C-F,Kentucky,6-7,228.0,"June 29, 1934",0.365,81.0,5.7,0.578,2.0,5.4,1.7,3.0,,,,,,,,,,,,,,,
626,626,/players/b/burtode02.html,Deonte Burton,2019,2020,G,"Marquette, Iowa State",6-4,240.0,"January 31, 1994",0.367,71.0,2.6,0.615,1.1,2.9,0.2,0.4,0.3,1.1,0.225,0.411,0.478,101.0,10.4,0.664,4.0,8.4,1.7,2.6,0.7,1.7,0.405
627,627,/players/b/burtoed01.html,Ed Burton,1962,1965,F,Michigan State,6-6,225.0,"August 13, 1939",0.412,15.0,2.2,0.455,0.9,2.3,0.3,0.7,,,,,,,,,,,,,,,
628,628,/players/b/burtowi01.html,Willie Burton,1991,1999,F-G,Minnesota,6-8,210.0,"May 26, 1968",0.424,316.0,10.3,0.786,3.4,8.1,2.9,3.7,0.4,1.3,0.345,0.452,0.511,118.0,15.3,0.749,5.5,10.7,3.6,4.8,0.7,1.8,0.378
629,629,/players/b/burttst01.html,Steve Burtt,1985,1993,G,Iona College,6-2,185.0,"November 5, 1962",0.426,101.0,5.8,0.695,2.2,5.1,1.4,2.1,0.0,0.1,0.143,0.428,0.522,121.0,20.9,0.726,8.3,15.9,4.4,6.0,,,
630,630,/players/b/busedo01.html,Don Buse,1973,1985,G,University of Evansville,6-4,190.0,"August 10, 1950",0.44,966.0,7.1,0.779,2.9,6.5,1.0,1.3,0.4,1.3,0.33,0.465,,,,,,,,,,,
631,631,/players/b/bustida01.html,David Bustion,1973,1973,F,Denver,6-8,215.0,"August 30, 1949",0.436,47.0,3.4,0.712,1.2,2.8,0.9,1.3,0.0,0.0,,0.436,,,,,,,,,,,
632,632,/players/b/butchdo01.html,Donnie Butcher,1962,1966,G,Pikeville College,6-2,200.0,"February 8, 1936",0.397,279.0,6.1,0.629,2.2,5.5,1.7,2.7,,,,,,,,,,,,,,,
633,633,/players/b/butleal01.html,Al Butler,1962,1965,G,Niagara University,6-2,175.0,"July 9, 1938",0.439,234.0,9.8,0.739,4.0,9.1,1.8,2.4,,,,,,,,,,,,,,,
634,634,/players/b/butleca01.html,Caron Butler,2003,2016,F,UConn,6-7,228.0,"March 13, 1980",0.434,881.0,14.1,0.847,5.2,12.0,2.8,3.3,0.8,2.4,0.348,0.469,0.465,63.0,18.0,0.768,6.4,13.8,4.5,5.9,0.7,1.9,0.364
635,635,/players/b/butlegr01.html,Greg Butler,1989,1991,C,Stanford,6-11,240.0,"March 11, 1966",0.354,55.0,1.4,0.714,0.5,1.4,0.4,0.5,0.0,0.1,0.0,0.354,0.503,117.0,8.9,0.701,3.6,7.2,1.6,2.3,,,0.5
637,637,/players/b/butleja02.html,Jared Butler,2022,2022,G,Baylor,6-3,195.0,"August 25, 2000",0.133,7.0,1.0,0.5,0.3,2.1,0.3,0.6,0.1,1.4,0.1,0.167,0.431,94.0,14.1,0.782,4.9,11.4,2.1,2.6,2.3,5.9,0.384
638,638,/players/b/butleji01.html,Jimmy Butler,2012,2022,F-G,Marquette,6-7,230.0,"September 14, 1989",0.459,640.0,17.5,0.839,5.7,12.4,5.3,6.3,0.8,2.5,0.327,0.492,0.508,106.0,12.0,0.773,3.7,7.2,4.3,5.6,0.3,0.9,0.383
639,639,/players/b/butlemi01.html,Mike Butler,1969,1972,G,Memphis,6-2,170.0,"October 22, 1946",0.393,245.0,8.8,0.866,3.2,8.2,1.7,1.9,0.7,2.4,0.289,0.436,,,,,,,,,,,
640,640,/players/b/butlemi02.html,Mitchell Butler,1994,2004,G-F,UCLA,6-5,210.0,"December 15, 1970",0.438,362.0,5.2,0.623,2.0,4.5,1.0,1.6,0.3,0.9,0.304,0.468,0.519,130.0,7.9,0.528,3.2,6.2,1.2,2.3,0.2,1.0,0.228
641,641,/players/b/butlera01.html,Rasual Butler,2003,2016,F-G,La Salle,6-7,215.0,"May 23, 1979",0.403,809.0,7.5,0.747,2.8,7.0,0.7,1.0,1.1,3.1,0.362,0.483,0.409,110.0,19.3,0.829,6.8,16.7,3.1,3.7,2.6,7.1,0.359
642,642,/players/b/buyckdw01.html,Dwight Buycks,2014,2018,G,Marquette,6-3,190.0,"March 6, 1989",0.402,49.0,6.3,0.883,2.3,5.8,1.1,1.2,0.6,1.5,0.37,0.449,0.443,68.0,7.7,0.687,2.9,6.4,1.2,1.7,0.8,2.2,0.36
643,643,/players/b/byarsde01.html,Derrick Byars,2012,2012,F,"Virginia, Vanderbilt",6-7,220.0,"April 25, 1984",0.273,2.0,5.0,1.0,1.5,5.5,2.0,2.0,0.0,3.0,0.0,0.273,0.463,126.0,11.0,0.698,3.9,8.5,1.5,2.2,1.6,4.0,0.397
645,645,/players/b/bynumwi01.html,Will Bynum,2006,2015,G,"Arizona, Georgia Tech",6-0,185.0,"January 4, 1983",0.442,360.0,8.1,0.799,3.1,7.0,1.7,2.1,0.2,0.9,0.272,0.458,0.385,101.0,9.4,0.739,3.1,8.1,2.0,2.7,1.2,3.9,0.31
646,646,/players/b/byrdwa01.html,Walter Byrd,1970,1970,F,Temple,6-7,205.0,,0.326,22.0,1.5,0.294,0.6,2.0,0.2,0.8,0.0,0.0,0.0,0.326,,,,,,,,,,,
647,647,/players/b/byrnema01.html,Marty Byrnes,1979,1983,F,Syracuse,6-7,215.0,"April 30, 1956",0.463,263.0,5.7,0.736,2.2,4.8,1.2,1.6,0.1,0.3,0.326,0.469,0.496,100.0,11.6,0.661,4.4,9.0,2.7,4.1,,,
648,648,/players/b/byrneto01.html,Tommy Byrnes,1947,1951,F-G,Seton Hall,6-3,175.0,"February 19, 1923",0.299,264.0,6.5,0.648,2.5,8.3,1.5,2.3,,,,,,,,,,,,,,,
649,649,/players/b/bytzumi01.html,Michael Bytzura,1947,1947,F,Long Island University,6-1,170.0,"June 18, 1922",0.244,60.0,3.5,0.5,1.5,5.9,0.6,1.2,,,,,,,,,,,,,,,
